Data;Saldo;Receitas ;Total de Despesas;Despesas Gerais;Despesas Administrativas;Valores em débito;n° de mensalidades de condôminos em débito;Energia;Uber;Material de construção;Material de limpeza;Manutenção geral (outros);Limpeza do condomínio;Manutenção do sistema hidráulico de abastecimento;Ocorrência da manutenção do sistema hidráulico;Pagamento do guarita;Contadora;ISS;Tarifas do SICOOB;Seguro do condomínio;Mio Telecom
31/01/2019;1,03;6544,99;14128,00;596,96;499,40;146,00;1,00;270,74;58,53;11,80;35,89;220,00;540,00;;Não;Sim;350,00;17,50;131,90;0,00;0
28/02/2019;63,86;2491,62;2428,79;805,15;473,70;438,00;3,00;225,15;50,00;105,00;;250,00;225,00;;Não;Sim;350,00;17,50;106,20;0,00;0
26/03/2019;1062,85;3084,46;2085,47;1074,81;538,55;292,00;2,00;246,82;34,00;7,99;20,25;246,00;540,00;;Não;Sim;350,00;17,50;171,05;0,00;0
30/04/2019;836,66;2971,30;3197,49;1740,35;481,04;292,00;2,00;269,85;20,00;25,50;;1129,85;585,00;;Não;Sim;350,00;17,50;113,54;0,00;0
31/05/2019;120,40;2785,74;3502,00;2228,42;479,97;292,00;2,00;276,60;20,00;288,95;24,87;980,00;550,00;;Não;Sim;350,00;17,50;112,47;0,00;0
28/06/2019;342,80;2639,84;2417,44;1133,25;500,15;584,00;4,00;266,95;20,00;42,00;9,30;210,00;585,00;50,00;Sim;Sim;350,00;17,50;132,65;0,00;0
30/07/2019;752,93;2931,29;2521,16;1612,48;520,06;584,00;4,00;351,37;20,00;213,74;32,37;400,00;495,00;170,00;Sim;Sim;350,00;17,50;152,56;0,00;0
30/08/2019;325,35;2788,80;3216,38;2671,61;544,77;876,00;6,00;260,11;20,00;1221,50;;240,00;630,00;240,00;Sim;Não;350,00;17,50;177,27;93,72;0
30/09/2019;1463,64;3099,18;1960,89;1384,69;576,20;584,00;4,00;286,16;20,00;173,50;14,63;350,00;530,00;39,50;Sim;Não;350,00;17,78;136,14;72,28;0
30/10/2019;1124,92;3839,69;4178,41;3566,77;611,64;584,00;4,00;243,73;20,00;428,15;9,89;2280,00;585,00;500,00;Sim;Não;350,00;17,50;171,86;96,46;0
29/11/2019;1711,20;2986,07;2399,79;1825,15;574,64;438,00;3,00;224,57;20,00;557,00;5,58;430,00;585,00;;Não;Não;350,00;17,50;134,86;93,76;69,9
31/12/2019;2468,38;3295,39;2538,21;1879,79;658,42;438,00;3,00;249,58;20,00;194,00;26,87;820,00;540,00;;Não;Não;350,00;17,50;118,64;0,00;69,9
31/01/2020;3522,84;2778,14;1723,68;1276,61;507,07;292,00;2,00;256,04;90,00;41,50;12,87;276,20;540,00;200,00;Sim;Não;350,00;17,50;139,57;0;69,9
25/02/2020;1660,15;2933,39;4660,16;4140,59;509,56;438,00;3,00;223,10;100,00;35,00;14,79;3062,80;635,00;300,00;Sim;Não;350,00;17,50;142,06;0;69,9
31/03/2020;3174,39;2927,24;1566,77;1079,31;487,46;730,00;5,00;274,97;31,90;51,90;15,24;177,20;590,00;;Não;Não;350,00;17,50;119,86;0;69,9
27/04/2020;4379,33;2635,82;1430,88;984,50;482,38;730,00;5,00;233,66;20,00;17,90;11,94;80,00;635,00;;Não;Não;350,00;17,50;114,88;0;69,9
30/05/2020;5536,47;2635,50;1478,36;1001,84;476,52;1022,00;7,00;278,57;20,00;66,50;16,77;80,00;590,00;;Não;Não;350,00;17,64;108,88;0;69,9
30/06/2020;7260,18;3242,61;1518,90;1018,96;499,94;730,00;5,00;231,66;20,00;87,30;;;590,00;;Não;Não;350,00;17,50;132,44;0;69,9
29/07/2020;8503,33;2630,96;1387,81;913,43;474,38;1022,00;7,00;247,42;20,00;40,90;25,11;40,00;590,00;;Não;Não;350,00;17,50;106,88;0;69,9
30/08/2020;5715,78;3104,25;5891,80;5342,92;549,86;730,00;5,00;241,57;20,00;36,00;77,37;318,00;630,00;;Não;Não;350,00;17,50;110,57;70,79;69,9
